country,director,genre,imdb_rating,title,year
Россия,Никита Михалков,документальный фильм,,55,2007
Индонезия,Ханун Брамантйо,драматический фильм,7.0,?,7 апреля   2011
Великобритания,Сьюзи Юинг,триллер,5.1,10 на 10,2018
США,Джеми Линден,"драма
романтическая комедия",6.1,10 лет спустя,2011
"Россия
Украина",Фёдор Бондарчук,"военно-исторический
боевик
драма",7.1,9 рота,2005
США,Эмметт Олстон,боевик,3.9,9 смертей ниндзя,1985
Великобритания,Майкл Уинтерботтом,"драма
мелодрама
музыкальный фильм
эротика",4.7,9 песен,2004
США,Джил Джангер,романтическая комедия,7.3,10 причин моей ненависти,1999
США,Мартин Гиги,"драма
фильм-катастрофа",4.5,9/11,2017
"США
ЮАР",Роланд Эммерих,приключенческий боевик,5.1,«10 000 лет до нашей эры»,2008
Великобритания,Лаб Ки Мо,"драма
комедия",6.2,9 мёртвых геев,2002
Россия,"Авдотья Смирнова
Александр Котт
Владимир Котт
Евгений Лаврентьев
Карен Оганесян
Максим Пежемский
Егор Кончаловский
Василий Чигинский",Телеальманах,6.2,9 мая. Личное отношение,2008—2010
"США
США",Хантер Уикс,Документальное кино,6.6,10 миль в час,2007
США,Джейсон Коннери,"фантастика
фильм ужасов",3.5,51,2011
США,Тео Эвгерино,Драма,4.9,50 таблеток,2006
Япония,Тосиаки Тоёда,фильм-драма,7.2,9 душ,2003
США,Питер Сигал,романтическая комедия,6.8,50 первых поцелуев,2004
США,Николас Рэй,"драма
исторический
военный",6.7,55 дней в Пекине,1963
Франция,Альбер Дюпонтель,комедия,6.4,9 месяцев строгого режима,2013
Дания,Рони Эзра,"Военный
драма",6.6,9 апреля,2015
СССР,Генрих Габай,"драма
приключения",7.9,49 дней,1962
США,"Ллойд Бэкон
Басби Беркли
(муз. номера)","комедия
мюзикл
мелодрама",7.3,42-я улица,1933
Новая Зеландия,Стюарт Мейн,драма,5.7,50 оттенков голубого,2005
"США
Япония",Карл Ринш,"фэнтези
боевик
драма",6.2,47 ронинов,2013
США,Майкл Даус,комедия,6.7,8-битное Рождество,2021
США,Гари Леннон,драма,5.5,45-й калибр,2006
США,Брайан Хелгеленд,"драма
спортивный фильм",7.5,42 / Номер 42,12 апреля   2013  и  8 августа   2013
Великобритания,Эндрю Хэйг,драма,7.1,45 лет,2015
США,Ив Симоно.,"боевик
драма
криминал.",6.3,44 минуты: Бойня в северном Голливуде,2003
Азербайджан,Эльчин Мусаоглу,драма,7.8,40-я дверь,2009
Россия,Александр Галибин,"детектив
триллер",5.8,40,2007
США,Майкл Леманн,кинокомедия,5.6,40 дней и 40 ночей,2002
Венгрия,Карой Макк,"исторический фильм
военный
экранизация",6.8,39-я бригада,1959
Республика Корея,Кан Джегю,"драма
боевик
военный",8.0,38-я параллель,2004
Гонконг,Чэнь Чжихуа,"боевик
комедия
драма",5.0,36 безумных кулаков,1977
СССР,Андрей Малюков,Фильм-катастрофа,6.3,34-й скорый,1981
Канада,Дени Вильнёв,"драма
мелодрама",6.5,32-е августа на Земле,1998
"США
Чили
Колумбия",Патрисия Ригген,драма,6.9,33,2015
США,Ли Рой Майерс,порнофильм,6.3,30 Rock: A XXX Parody,2009
"Мексика
Испания",Ригоберто Кастаньеда,"ужасы
мистика",5.3,31-й километр,2006
СССР,Леонид Квинихидзе,"музыкальный фильм
(
мюзикл
)

фэнтези",7.3,31 июня,1978
Россия,Александр Муратов,"комедия
фантастика",5.0,32 декабря,2004
США,Роб Зомби,Фильм ужасов,5.1,31,2016
Россия,Татьяна Капитан,"комедия
мелодрама",5.0,30 свиданий,2016
США,Крэйг Мосс,"комедийный
фильм ужасов",2.6,30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,2012
Россия,Леонид Андронов,"драма
музыкальный фильм",8.7,29 Километр,2012
Швеция,Андерс Банке,"фильм ужасов
комедия",5.5,30 дней до рассвета,2006
"США
Новая Зеландия",Дэвид Слейд,"ужасы
драма
триллер",6.6,30 дней ночи,2007
США,Бен Кетай,"триллер
фильм ужасов",4.3,30 дней ночи: Тёмные времена,2010
США,Питер Хатчингс,независимый кинематограф,6.9,30 безумных желаний,2018
"Франция
Германия
США",Брюно Дюмон,драмароуд-муви,5.1,29 пальм,2003
США,Джордж Галло,"комедия
драма",7.2,29-я улица,1991
США,Уильям Эшер,научная фантастика,6.2,27-й день,1957
Великобритания,Дэнни Бойл,"постапокалиптический
фильм ужасов",7.5,28 дней спустя,2002
"Великобритания
США
Испания",Хуан Карлос Фреснадильо,"постапокалиптический
фильм ужасов",6.9,28 недель спустя,2007
"Грузия
Франция
Германия
Россия",Нана Джорджадзе,"комедия
драма
мелодрама",6.6,27 украденных поцелуев,2000
